userName,score,at,content
Harto Ade,5,05/08/2023 13:58:00,Grab Taxi. Erie t. Septy
Nur Oktaviani,5,05/08/2023 13:43:00,Cukup baik
Putra Pilang,5,05/08/2023 13:41:00,sangat baik
Resti Styaningrum84,1,05/08/2023 13:38:00,udh di update gabisa kebuka juga...
Pipital zahwa,5,05/08/2023 13:30:00,Mantab
Ran_Ran 00,1,05/08/2023 13:20:00,Tetap yg terbaikk
Ridwan Samara,3,05/08/2023 13:18:00,Aplikasi kurang bagus kadang ngelek semisalnya pesen makanan. Sangat mengecewakan
Muji Mujilah,5,05/08/2023 13:13:00,bagus...
Pengguna Google,4,05/08/2023 13:07:00,Siipppp
Dek Amira,5,05/08/2023 12:58:00,"bagus, cepat dan ramah"
Frandm,5,05/08/2023 12:53:00,Gendut
Ferry Iskandar Ramadhanu,5,05/08/2023 12:52:00,Apk nya mantapsss
Rasta Rasta,5,05/08/2023 12:45:00,oke lah
Kartika Dewi,2,05/08/2023 12:45:00,"Knp ya grab express ku ga bs?pdhl grab bike,grab car, grab food bisa. Pdhl sdh diperbaharui. Trs skrg ko grab jarang ada promo gede kaya dulu ya"
Ulil Amri,5,05/08/2023 12:44:00,luar biasa
Erica Endah,5,05/08/2023 12:42:00,"banyak promo, murah, luvvvvv"
Ahmad rifqi Rifqi,1,05/08/2023 12:16:00,pelayanan nya ramah
Izwa Rizki,5,05/08/2023 12:15:00,mantaf
Bambang Wibisono,5,05/08/2023 12:10:00,ok
Isna 1103,1,05/08/2023 12:10:00,Udh gak seasik dlu semakin kesini semakin gak jelas jdi bnyak biaya tambahan untuk grabfood
Puspa,1,05/08/2023 12:06:00,Maps segera diupdate sama sperti google maps. Mau krim ktempat lain mleset terus jauh. Bahkan ada keterangan tidak dilayani grab. Padahal dalam kota
GALANG FAHRURROZI,1,05/08/2023 12:02:00,Makin bnyk biaya
Antok Whae,5,05/08/2023 12:00:00,cekatan ramah jadi nggak bosen jln nyaðŸ‘?ðŸ‘?ðŸ‘?
syair voice,1,05/08/2023 11:56:00,"Sekarang sudah, mau pesen grab baik aja, susah menentukan titik, ribet"
Fakhur,5,05/08/2023 11:52:00,0k
Putra Ragil,4,05/08/2023 11:52:00,Josss
eka jhito,1,05/08/2023 11:50:00,Ongkos nya naik nya sangat tinggi di bandingkan yang lain2 Saya pakai kalau ada promosi aja kalau tidak ada saya buat pasangan di hp aja
Jhon Wayne,4,05/08/2023 11:43:00,mantap
sadikin,5,05/08/2023 11:39:00,ok banget ini aplikasi transportasi
Realmi C11,5,05/08/2023 11:38:00,ðŸ‘?ðŸ‘?ðŸ‘?ðŸ‘?ðŸ‘?
Asep Miftah,5,05/08/2023 11:38:00,Knp ya baru brp hari di apdet minta di perbaharui lagi
Rifki Cekbos,5,05/08/2023 11:36:00,Bagus
A rony,5,05/08/2023 11:32:00,sangat baik
Abdul Ghani,5,05/08/2023 11:15:00,Membantu
Wawan Rt,5,05/08/2023 11:12:00,bagus
Gibran Joyo,4,05/08/2023 11:10:00,ok mantab
Yulis Tiya,5,05/08/2023 11:03:00,sangat membantu
Putri Ramadhani,5,05/08/2023 11:01:00,mantap
Tegar Aji,5,05/08/2023 10:57:00,Ok
Robertus Mulia,3,05/08/2023 10:55:00,"Kenapa hari ini mau login masuk susah bener yah Grab??? Udah ada OTP, tapi selalu failed login terus jawabnya. Ada apa ini?"
Faiz Hilma,5,05/08/2023 10:54:00,Ini ðŸ?‹ bagus sekali
Suhardi Channel,5,05/08/2023 10:50:00,Terimakasih
Dahlia Euis,5,05/08/2023 10:45:00,sangat nyaman
Frans Jaya Winata,5,05/08/2023 10:42:00,mantap
Firmansyah Firman,4,05/08/2023 10:40:00,alus
Hartono Hartono,1,05/08/2023 10:37:00,"Males beli makan pake grab. MAAAHHAALLLL. ada biaya parkir, biaya pesan, biaya kemasan. Total nya aja bisa 25 ribu... di tambah biaya kirim nya. mending masak telor sama mie aja dah.."
Jhu Na,4,05/08/2023 10:24:00,ok
Tedy Schwantz,4,05/08/2023 10:20:00,Ok
Hery Boink,4,05/08/2023 10:20:00,bagus
Agus Riyanto,5,05/08/2023 10:15:00,sangat puas
Bagus Prasetyo,1,05/08/2023 10:13:00,Aplikasi nya semakin kesini semakin parah..saya kecewa dengan menggunakan jasa grab
Mufthy Alghazali,4,05/08/2023 10:12:00,mantap
Novika Rizki Kristiana Alfitrah,5,05/08/2023 10:09:00,banyakin promonya minðŸ˜‡ðŸ˜‡ðŸ˜‡
Heru Seto,5,05/08/2023 10:06:00,ok banget
Diana Fatmawati,5,05/08/2023 09:54:00,sangat puas
tonton sugiarto,5,05/08/2023 09:54:00,Nyaman
Elfa Elfa,5,05/08/2023 09:51:00,Grab Taxi FOOD pesan makanan minuman aku suka kamu saya bantu aplikasi rating beri toko Grab FOOD belanja banyak beri pesan minum Boba segar Grab FOOD toko pesan es kopi susu enak coffee beli
Yasinta Kolinug,5,05/08/2023 09:42:00,reaksi cepat
Edy Sudarmanto,1,05/08/2023 09:36:00,Udah trip 3 hari grabcar cb g masuk di notif prono dpt ovo points 15kðŸ‘Ž
Acel Liano,1,05/08/2023 09:36:00,Gabut
Imelda Melda,4,05/08/2023 09:24:00,Ok
Muh Ridwan,5,05/08/2023 09:20:00,Mantap
liana jamina,5,05/08/2023 09:16:00,grab bagus murah dan sangat membantu
Mas ut Buah,1,05/08/2023 09:13:00,Saya sebenarnya suka adanya greb ojol. Tpi setalah di bentak2 sama bapak supir mobil greb langsung saya unstal dua x saya di kasarin
Desi fatma wati napitu,2,05/08/2023 09:13:00,Kenapa ga bisa di instal tulisan nya tidak dapat menginstal coba lagi nnti udah sampe 10x dicoba tp Gituu aja trusss Padahal perluuu bangett
Tambeh Andrean,4,05/08/2023 09:11:00,nyaman
Haris Ris,5,05/08/2023 09:10:00,mantap sukses selalu grab
Indah Susanti,5,05/08/2023 09:06:00,oke lah
wince nofita,5,05/08/2023 09:05:00,good job
Reza Demara,1,05/08/2023 09:03:00,Pengemudi tidak mengantarkan makanan / makanan belum sampai
Melly Hardianty,5,05/08/2023 08:54:00,cepat..
Rian . R Pakpahan,5,05/08/2023 08:51:00,Bagus
Budi Kurniawan,5,05/08/2023 08:45:00,"mantap, sopir ramah"
Gina Sonia,5,05/08/2023 08:44:00,nyaman layanannya
Etipurwanti Purwanti,5,05/08/2023 08:43:00,aplikasinya bangus bnget
Afga Afga,5,05/08/2023 08:37:00,Good
Melda Risma,5,05/08/2023 08:30:00,luar biasa
Sheno Atmadja,5,05/08/2023 08:18:00,"driver ramah,mobil bersih"
Hm Luqman,5,05/08/2023 08:17:00,Good
Ayi Sukaryat,5,05/08/2023 08:15:00,komuniktif driver enak
Egi yoga New,5,05/08/2023 08:07:00,bagus
Nanik Ariana,5,05/08/2023 08:04:00,pesanan cepat dan baik
Candra Wijaya Chan,5,05/08/2023 07:58:00,baik
1,1,05/08/2023 07:56:00,Banyak orderan settingan intelijen dajjal sarap Laknatullah Ridwan Kamil Achmad Tardiyana yg dilindungi Jokowi yg sudah 9 tahun mlanggar hukum moral nurani agama dgn persadapan rakyat sipil smpe hack dan terornya utk satire memilukan di aplikasinya. Pengakuan anda terlihat dgn intelijen rezim utk drama brengsek spt ini tidak hnti2 ditunggu konpers privat. Cilakalah kata masuk najis coding kharaman perzinahan massal
Wahid Hasyim,5,05/08/2023 07:47:00,OU IMO i ko i ini ol k om mk hmmmm ok.u k .kom.o oomi u.i ni u poi.ioo j oh on j.k inii.oook. iol nkhun oii
zizIt'sME,5,05/08/2023 07:42:00,Ongkir mahal and gak dpet diskonðŸ¥²ðŸ¥²
Capuzel Queen,5,05/08/2023 07:39:00,"Tolong ditegur drivernya yang kurang ajar, semoga grab semakin jaya"
Fatimah Ash Syahidah,5,05/08/2023 07:33:00,Terimakasih selama ini sudah membantu saya
Rizal Ferdyansyah1010,1,05/08/2023 07:30:00,Saat saya pesan grab drivernya lambat dan saat dijalan driver malah merokok dijalan dan tidak memakai masker
Edi Saputra,5,05/08/2023 07:21:00,Terbaik
Dadan Ridwan,5,05/08/2023 07:19:00,Alhamdulillah membantu
Tommy Rumpaisum,1,05/08/2023 07:09:00,Apk gila
Rafif Rosyid Dian,4,05/08/2023 07:06:00,lebih ditingkatkan lagi pelayanannya
maryata tenda,5,05/08/2023 07:01:00,Mantap pelayanannya sopir ramah .santai bawa mobilnya bisa request ke atm ðŸ™?ðŸ™?ðŸ™?
Agus Trala,5,05/08/2023 06:53:00,sangat cepat dan baik
Irma Yanti,5,05/08/2023 06:44:00,pokoknya ok..
Harun Aman,5,05/08/2023 06:33:00,ok
Nifa Ditha,5,05/08/2023 06:30:00,Ak senang
Su gito,1,05/08/2023 05:51:00,"Ga bisa cancel pesanan padahal resto lagi tutup, dicancelsama drivernya malah cuma ganti driver pesananya ga kecancel. Kecewa ga bisa pesan yang lain karna pesanan belum kecancelðŸ‘Ž"
Muhammad Rafi Gumelar Milano,5,05/08/2023 05:51:00,"SELALU ADA PROMO, harga rendah dari saingannya"
Hernawan Labib,5,05/08/2023 05:41:00,ðŸ‘?ðŸ‘?ðŸ‘?
Doni Rizkipratama,5,05/08/2023 05:35:00,ok bnget drivernya ramah
Rizal Budiyanto,5,05/08/2023 05:23:00,ok
Kang Viray,1,05/08/2023 05:23:00,"Makin ribet di update gk bsa2, buang2 kuota aja"
ferdy nodi,5,05/08/2023 05:22:00,Good
Dewi Sape,5,05/08/2023 05:14:00,baik
Lili Jumtili,5,05/08/2023 05:12:00,"nyaman naek grab, respon y cepat.ðŸ‘?"
Lukman Alidruz,5,05/08/2023 05:10:00,Ø§Ù„Ø­ÙŽÙ…Ù’Ø¯Ù? Ù?Ù„Ù„Ù‡
Mukmin Azze,5,05/08/2023 05:09:00,kasih bonus dan THr buat driver jgn lupa
Nurita ita,5,05/08/2023 05:05:00,"alhamdulillah driver nya baik dan sangat sopan,,,"
Samudera Fatah Gumilang,4,05/08/2023 05:02:00,Akhhh kode promonya ga bisa di pake mulu!  MenyebalkanðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡  Blum ada yg memperbaiki!  Gabisa make kode promo
Salman Fahmitalamri,5,05/08/2023 05:01:00,nice
dipa aditya,5,05/08/2023 05:01:00,baik
Firmansyah Hamdin,5,05/08/2023 04:52:00,"pakai grab rekomendasi banget, pelayanan bagus dan harga yang pasti nya murah."
saeful anwar,5,05/08/2023 04:45:00,sangat membantu di saat kondisi mendesak
JONI SAPENDRA,2,05/08/2023 04:38:00,Setelah di update aplikasi ini jadi buruk Navigasi nya kacau
Alex Dhanil,5,05/08/2023 04:34:00,TOP buanget
Thoraxz Cool,5,05/08/2023 04:29:00,good
Lenilen Saiful,5,05/08/2023 04:26:00,Keren
Eko Bambang Rahmono,5,05/08/2023 04:22:00,makasih grab
Epfioutyno Azhari,1,05/08/2023 04:18:00,Telat brangkat krna maksa update
huda asif,5,05/08/2023 04:16:00,sangat baik dan membantu apa lg ada promo dr harga juga
Muhammad Sugenghr,4,05/08/2023 04:13:00,mantap...
Fauzi Ahmad,5,05/08/2023 04:11:00,ok
Dedi Irawan,5,05/08/2023 04:07:00,baik
torak pjr,5,05/08/2023 04:07:00,mantap
Siti Icha,5,05/08/2023 04:07:00,baik
fitriana esta,5,05/08/2023 03:38:00,thanks a lot
Julianti Dgsunggu,5,05/08/2023 03:35:00,sangat membantu
Joko 1212,5,05/08/2023 03:33:00,tingkat kan pelayanan
Suaidah Jepara,5,05/08/2023 03:33:00,bagus
Erwin Rinaldi,5,05/08/2023 03:31:00,Maps nya sangat akurat
Ar Man,5,05/08/2023 03:28:00,Sy suka
Rudi Anto,5,05/08/2023 03:24:00,nyaman
Dian Sopian,4,05/08/2023 03:15:00,Good
Windi Priyanto,5,05/08/2023 03:08:00,on time
24_Muhammad Doris Susanto,5,05/08/2023 03:06:00,baik
Botot FIQRI,5,05/08/2023 03:05:00,ðŸ‘?ðŸ‘?ðŸ‘?
Erick Pernanda,5,05/08/2023 03:04:00,terbaik
Dewi Beauty Channel,2,05/08/2023 02:56:00,"Kesel banget sama driver grab car.. sy pengguna setia grab baru kali ini nemuin driver yg minta tambahan biaya 2x lipat padahal driver lain ga kaya gini, tolong perbaiki performa drivernya kalau perlu di seleksi lagi, mau ngasih rating jelek drivernya ngancem jangan ngasih rating jelek ntar gabisa kerja lagi. Tolong perbaiki atitude dan pelayanan dari para driver yaa... terimakasih"
Tika sari Hartati,5,05/08/2023 02:49:00,Bagus
Pocox3 Okto9,1,05/08/2023 02:44:00,Tanpa ada alasan yg jelas akun dibekukan. Udah ga butuh pelanggan LU? Merasa SOMBONG? ðŸ‘ŽðŸ‘ŽðŸ‘Ž
riama ernawati T,3,05/08/2023 02:40:00,ribet pakai aplikasinya. coba buat lebih simple
Kevin efendi,5,05/08/2023 02:29:00,ok
Ahmad Zaini123,5,05/08/2023 02:29:00,grab sangat membantu saya di saat ada kesulitan
Muhammad Yanis,5,05/08/2023 02:28:00,sangat puas
Nikenti Rodiana,5,05/08/2023 02:21:00,Sangat cepat dan drivernya juga ramah
julio ngantung,1,05/08/2023 02:17:00,padahal cuma mau pesen makan gw mau bayar pake ovo malah ga keluar kode verifikasinya udh di tunggu 10 menit lebih
Rizal Rizki Kurnia,5,05/08/2023 02:12:00,ok
settsu banri,3,05/08/2023 02:11:00,Mm
Agustinus Malau,5,05/08/2023 02:05:00,mantap
Anang Hersan,5,05/08/2023 01:56:00,ðŸ‘?
Pengguna Google,4,05/08/2023 01:54:00,Sekarang jadi mahal bgt padahal deket
Anton Brekele,5,05/08/2023 01:45:00,keren
Devita Rosdiana,2,05/08/2023 01:38:00,Knp buka menu selalu white screen ya. Jdi susah mau order makanan. Tolong diperbaiki dong
D27_Agnes Dwiputri,3,05/08/2023 01:34:00,"(+) saya biasa dapat driver cepat dan ramah, pelayanannya juga oke. (-) biasanya promo yang banyak tersedia untuk OVO, untuk tunai paling potongan 500rp-1000rp hahahaha. Promo grab food-nya juga yaampun, sangat amat sedikit ya untuk tunai."
Putri bae,5,05/08/2023 01:18:00,Mantabb
Bang Kepo,1,05/08/2023 01:10:00,"Maksa banget buat update padahal gak yerlalu btuh2 amat dan ngerasa gk ada bug d hp saya,sampahðŸ‘ŽðŸ?¾"
andri sudarman,5,05/08/2023 01:08:00,ok
abdus salim,3,05/08/2023 00:54:00,Udah mulain mahal...
Uray Ayu Lestari Alda,3,05/08/2023 00:54:00,"Apaan mau regist aja susah banget, sebel"
Malvino Aprilio rafisqi,5,05/08/2023 00:53:00,bapak nya baik bgt. terimkasih pak....
Fitri Pipit,3,05/08/2023 00:42:00,Mahal... untuk harga makanan Ongkir is ok lumayan
Asikotul jannah,5,05/08/2023 00:37:00,"driver ramah,sopan"
Josua sihartama Josua,3,05/08/2023 00:35:00,Cukup bintang 3 aja dlu karna ada sedikit kendala itu aja. Saran saya semoga aplikasi grab ke depan nya makin bagus dan tdk ada kendala nya lagi tentang pengantaran makanan ataupun bepergian. Cukup sekian dana Terima kasih ðŸ™?
Thomas Olaluli4692,5,05/08/2023 00:12:00,puas
Ismuddin Darsa,5,05/07/2023 23:57:00,"Dengan Grab perjalanan jadi oke dan lancar, terima kasih ðŸ™?ðŸ?¼"
iis nawati,5,05/07/2023 23:41:00,Bagus
Armihuzain Armi,5,05/07/2023 23:21:00,tepat waktuðŸ‘?ðŸ‘?ðŸ‘?
Yessi Handayani,5,05/07/2023 23:19:00,Tingkatkan terus pelayanan terbaik yaa Team Grab Jaga kesehatan keselamatan bersama
RIA AYU NOVITASARI,5,05/07/2023 23:14:00,aman dan terpercaya
reno junxs,5,05/07/2023 23:11:00,mudah diakses
Affan Putra,1,05/07/2023 22:55:00,Tidak bsa d download
Andjaney Djaney,4,05/07/2023 22:55:00,cek
S al Amin,5,05/07/2023 22:50:00,"Pengalaman.,"
Kus Andriawan,5,05/07/2023 22:44:00,driver nya baik dan sopan
Amat Toing,5,05/07/2023 22:42:00,terima kasih
Achmad Fajar Ferandi,5,05/07/2023 22:35:00,OK....
Sapu Jagad,5,05/07/2023 22:24:00,"Grap sangat membantu dan solusi terbaik,di saat ojek lain tdk memberikan ketidak pastian tarif."
Aminah Zuhria,5,05/07/2023 22:14:00,Mantap
Yusuf Amel,5,05/07/2023 22:12:00,pelayanan prima pertahankan
PADEPOKAN NARAWIJAYA,4,05/07/2023 22:09:00,bagus
Marsella sembiring,5,05/07/2023 21:38:00,Terima kasih Grab n driver ok bgt
Kar Tini,5,05/07/2023 21:23:00,super ya ramah
anto111 anto11,5,05/07/2023 21:08:00,oke
Novia Via,5,05/07/2023 21:04:00,sangat membantu
soraya suhaila,3,05/07/2023 21:03:00,mb nya kurangin dong kasian yang ram nya dikit
Nasruddin Anas,5,05/07/2023 19:59:00,layanannya sangat memuaskan...ðŸ‘?ðŸ‘?
dayen dayen,5,05/07/2023 19:55:00,Bagus
Prabowo Ajie,5,05/07/2023 19:44:00,terima kasih saya telah d antarkan k tempat tujuan dengan selamat
c 88daimi,5,05/07/2023 19:20:00,good
Ridwan Muhammad,5,05/07/2023 18:56:00,sangat membantu
Hermanto Ichi,1,05/07/2023 18:18:00,Masukan buat grab.. kalo playanan jasa itu yg sabar dong.. orang d bayar juga.. masa belom ktmu titik penjemputan .. kesanya buru2 ..dah gitu ngga tau daerah yg di tuju lagi ... mikirr
Fenny nuraisyh ratn gaby yeyn asr Jonathankaro,5,05/07/2023 17:58:00,Knp eg bis buka grab
Mohammad Juan Maulana,5,05/07/2023 17:01:00,Sangat memuaskan
Kiki Handayani,5,05/07/2023 16:40:00,bagus
Resna Kuspitasari,5,05/07/2023 16:31:00,Aplikasnya bgs bngt memudahkn untuk semua hal
Ardi Man,5,05/07/2023 16:14:00,terimakasih
Ferry As,5,05/07/2023 15:48:00,mantap
Sintus Mau26,5,05/07/2023 15:35:00,Mantappp
Kazuko Orewanaru12,1,05/07/2023 15:33:00,Ga bisa update
Ai Rosita,5,05/07/2023 15:30:00,respon bagus dan cepat
paramitha nursady,2,05/07/2023 15:29:00,Ok
Anindhita Prasasya,5,05/07/2023 15:25:00,Ok
Suciartisuci Suci,5,05/07/2023 15:22:00,ok
Fran Wijaya,5,05/07/2023 15:14:00,lebih baik
Budi Prasetyo,5,05/07/2023 15:09:00,mbaknya ramah
Abdul Aziz Aziz black,5,05/07/2023 15:09:00,sangat bermanfaat bagi kami
Ijang Kencana,5,05/07/2023 15:07:00,mantap
Uber Alkhatiri,5,05/07/2023 15:07:00,perjalanan yg cukup menyenangkan
Fatimah Sanum,5,05/07/2023 15:05:00,mantap
Pemy Seno,5,05/07/2023 14:56:00,sip lah
Ade YgeR,5,05/07/2023 14:45:00,OK
Liliek Ong,4,05/07/2023 14:41:00,terima kasih. atas bantuannya.
Tarisa Putri Setiani,5,05/07/2023 14:38:00,baik
Apip Behon,5,05/07/2023 14:38:00,Bagus.saya dounlod di saat saya butuh kan terima kasih
Negri Formosa,5,05/07/2023 14:34:00,mantap
Bos Bostak,5,05/07/2023 14:34:00,ok
Noni Rasman,5,05/07/2023 14:33:00,nyaman
Pitri Sapitri,1,05/07/2023 14:29:00,Udh beberapa kali berkendala trakhir isi saldo hangus sm sekali gk masuk udh di report di chat ttep gk masuk duit nya
Lina Rahmawati,5,05/07/2023 14:20:00,good
Ichsan Daud,5,05/07/2023 14:20:00,ok
fathur rohman,5,05/07/2023 14:17:00,membantu
Maryadi Ayuk,5,05/07/2023 14:01:00,memuaskan
HYDRJ J,5,05/07/2023 13:44:00,Bongkar
Liperdi Sitorus,5,05/07/2023 13:41:00,oke
Anty Fahry,1,05/07/2023 13:40:00,Kenapa Tiap mau pesan grabfood selalu gagal kalo bayar tunai.. ..
Ade hamzah,5,05/07/2023 13:32:00,mantul
Nuansa,1,05/07/2023 13:30:00,Pada ga niat narik wkwk pas ujan ngga mau pada di ambil. Butuh ga butuh . Aneh
endi ps,5,05/07/2023 13:28:00,driver ramah
Kiki Kardian,5,05/07/2023 13:19:00,membantu
Guntur Saputra,3,05/07/2023 13:16:00,maksihhhh bang greb
TAUFIK TAUFIK HIDAYAT,5,05/07/2023 13:12:00,sagat membantu kebutuhan tranportasi darat.
Rastika dewi,1,05/07/2023 13:11:00,BIKIN PUSING GW UPDATE LOKASI PENGIRIMAN AJA GA BISA... RIBET LOL... GW UNINSTALL KASIAN DRIVERNYA NYASAR MULU...
Wiwin wincisel,3,05/07/2023 13:01:00,Semoga titiknya benar
Nawwaf,1,05/07/2023 12:58:00,apk cacat jadul
Rusman Rusman,1,05/07/2023 12:54:00,Sulit menentukan alamat rumah sendiri. Padahal ada di google map di Gojek juga ada. kalau malas tim survey nya ya lihat google map aja. terus betulkan ni di Pangandaran dulu di Medan juga banyak salah.
Anne Marlina,5,05/07/2023 12:50:00,helpful buat saya pengusaha online hijab Voal Motif AHS sering dapat orderan local bs pakai grab express
Gunawan Nasution,5,05/07/2023 12:44:00,Kenapa enggak bisa diinstal?
zamal arifin,5,05/07/2023 12:29:00,Sangat membantu
Pornesia Parappio,1,05/07/2023 12:18:00,Grab tu tiap update apa yg dibenerin sih? Msk ukurannya udh kyk download ulang app nya sih
Elia Phang,5,05/07/2023 12:11:00,grap masih terbaik
Indra Nawawy,5,05/07/2023 12:11:00,pelayanan sangat cepat...seneng pkoknya jadi sangat tepat
Susanti Indriani,1,05/07/2023 12:11:00,"Kenapa sekarang GRABFOOD ada biaya penangannya sangat memberatkan. ditambah ongkir muahal, promo udh gk pernah ada bener2 sangat mengecewakan."
Ian pena hutapea,5,05/07/2023 12:06:00,tepat waktu
princes cute,5,05/07/2023 11:58:00,sangat baik
hasan muti,5,05/07/2023 11:58:00,Alhamdulillah saya dapet 0 rupiah perjalanan dari rumah sakit pulang ke rumah
suwandi golden,5,05/07/2023 11:57:00,pelayanan bagus dan cepat responya
Lion Hijau,1,05/07/2023 11:57:00,Gerap apaan 20 kg aja kta kejahuan aplikasi yg gk berguna apa drper grep yg gak layak di pakai
arshaq ganteng,1,05/07/2023 11:56:00,"Ni grab lama lama banyak banget tingkahnya,semua yg di keluhkan disini benar semua tu,tinggal tunggu musnah aja kayak Nokia,bau bau nya sih kesitu ni aplikasi,tinggal tgu beritanya aja,apa yg ngk mungkin di dunia bisnis...ingat grab,trus aja sombong sesombongnya,ntar ente tinggal kenangan,dengerin tu"
Herlin Erdayani,5,05/07/2023 11:54:00,baik
achmad fachrudin,1,05/07/2023 11:54:00,Payah
Artini Artini,5,05/07/2023 11:51:00,"Driver nya sangat ramah puas pokoknya, makasih ya"
Yuwono adi susanto,1,05/07/2023 11:50:00,Kebanyakan update terus. Orang mau pake repot kalo udh diminta update harus dilakukan klo enggak app gk bisa dipake. MEREPOTKAN!!
Edi Sasmito Sport,5,05/07/2023 11:45:00,mantabb
Narsum Newes 86,5,05/07/2023 11:41:00,terimaksih pak
celline,2,05/07/2023 11:41:00,saya kok gabisa bayar pakai cash?
Siti Nuraeni,4,05/07/2023 11:40:00,nyaman bngt
Jamin Chotim,5,05/07/2023 11:35:00,sangat membantu
Salagu Duarebu,5,05/07/2023 11:35:00,Ok
Zakir Kir,5,05/07/2023 11:34:00,terimakasih pak
De Ian,5,05/07/2023 11:29:00,joss driver nya
Sultan Sulaiman,5,05/07/2023 11:22:00,alhamdulillah
thio mario,1,05/07/2023 11:14:00,"untuk pesan makanan biaya tambahannya terlalu bnyak dri harga aslinya.. mending pke Mxm murah.. walaupun blum ad fitur drivefoodnya di app, tpi tetap bisa pesan lngsung ke drivernya.. jgan heran klo grab skrng kurang diminati !"
Wijayanti Angkoso dr u vbg,5,05/07/2023 11:14:00,ðŸ‘?ðŸ?»ðŸ‘?ðŸ?»
nasir plosogeneng,1,05/07/2023 11:14:00,"Biaya pemesan itu untuk apa?, ditambah lagi double order,, bikin nunggu lama, beda resto lagi, kita it lapar nah kalau nunggu lama gmana,, waktu juga ngga efesien,, selama pihak aplikator belum memperbaiki sistemnya tetep kasih bintang 1,,"
Rotim,1,05/07/2023 11:10:00,Kecewa dengan grab padahal saya belum daftar ke grab tapi sudah ada email orang lain
Erna Nosa,3,05/07/2023 11:10:00,bgus
koerawa City 212,4,05/07/2023 11:09:00,Batal
pawirajaya wedding,5,05/07/2023 11:06:00,good
ROWINA WIJAYA,5,05/07/2023 10:58:00,Puas Sekali
Ani Minarni,5,05/07/2023 10:58:00,Sangat bagus
Hery Sitorus,5,05/07/2023 10:52:00,sopir sopirnya sangat ramah
Budi Utomo,5,05/07/2023 10:51:00,mantap. trmksh.
Jay Badung,5,05/07/2023 10:49:00,sopan baik drivernya
Wulan Sari,5,05/07/2023 10:45:00,mantap pengemudiny ramah
Surahman Hidayat,5,05/07/2023 10:38:00,good
hari Kukuk,5,05/07/2023 10:37:00,good job
Sakti nata dirasa,5,05/07/2023 10:37:00,Ok saat butuh kendaraan..tapi kadang lama nunggu juga
Fathul Mubin,5,05/07/2023 10:36:00,good
Ikbal Blay blay,5,05/07/2023 10:34:00,respon cepat
Winda Dede,5,05/07/2023 10:33:00,ok
tata aisyi,5,05/07/2023 10:30:00,Jossss
Cici Rahma,1,05/07/2023 10:28:00,"Sekarang knp ya selalu tampilan update aplikasi terus, dan udh coba update grabny g berhasil"" dan harus mengkosongkan memori menyita waktu dan ngabisin quota jadiny.. minta tlg diperbaiki sistem nya biar memudahkan konsumen"
Sakuramiyawaki,1,05/07/2023 10:26:00,Saya tetangga nya tapi saya mau mesan sesuatu kok alamat nya bukan alamat saya ya melainkan alamat tetangga saya gmn sih
Faridah Albakar,5,05/07/2023 10:23:00,Keren
Yuni Anggraini,5,05/07/2023 10:22:00,sangat bagus
Fadhlan R,5,05/07/2023 10:21:00,Customer servicenya sangat sangat membantuðŸ‘?ðŸ‘?ðŸ‘?
Om Away,5,05/07/2023 10:21:00,TheBest
Zaenul Arifin,5,05/07/2023 10:19:00,Thank You
Faozan Abdillah,5,05/07/2023 10:19:00,good job
Faqih,5,05/07/2023 10:13:00,keren
Wildan Zainiyah,5,05/07/2023 10:11:00,2 kli naik grab smua drivernya sopan dn baik
Ahmad Wasi,5,05/07/2023 10:04:00,good
Wadil Quro Sinapeul-2,5,05/07/2023 10:01:00,"oke terima kasih...,"
Farras Rurika,1,05/07/2023 09:55:00,Gaje udh di hps msh jga munculÂ² gk jelas di hp gmn sih???
mochh raffasatrio,5,05/07/2023 09:51:00,mantap
Syafana Dinda Pratiwi,5,05/07/2023 09:50:00,good good
Dita alala,5,05/07/2023 09:45:00,ramah cpt kirimanya
nova sinden,5,05/07/2023 09:37:00,ðŸ‘?ðŸ‘?ðŸ‘?
Luluk Murnisari,4,05/07/2023 09:35:00,"sering terbantu bagi yg tdk punya kendaraan pribadi. cepat, aman, kadang ada promo"
Jefri Yusuf Lubis,5,05/07/2023 09:26:00,mantap
Umdaya 21,5,05/07/2023 09:23:00,seneng dan cepat datangnya
setio utomo,5,05/07/2023 09:22:00,pengemudi baik dan sopan ðŸ‘?ðŸ‘?
Hwang Su Ling,5,05/07/2023 09:21:00,drivernya Rahma dan baik
Berry Ariyanto,1,05/07/2023 09:20:00,Super aiwjwl iususwy I sisoa
taufik hidayat,2,05/07/2023 09:19:00,3bang 3@5
Syafbirul Birul,5,05/07/2023 09:15:00,senang dengan drivernya humble & ramah
Andhi Puspaningtyas,4,05/07/2023 09:14:00,Segera mau pakai harus verifikasi email. Lha ini Yahoo lupa paswoed & gak bisa di buka. Kalau gak pakai verifikasi email kaya dulu gimana
Rezaa miko,1,05/07/2023 09:08:00,lama pelayanan nya..
Putri Jasmine amirah,5,05/07/2023 09:07:00,bguussssss
arif junaedi,5,05/07/2023 09:05:00,Ramah
Al Din,5,05/07/2023 09:03:00,baik
Marya Nazjua Marya Nazjua,5,05/07/2023 09:03:00,sopan baik mobil ya bersih sopirya santai nyaman
